Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
Deck Nine Games,12/6/2024,,,Indie,Colorado,United States
Sweet Bandits,12/4/2024,10,,Indie,Quebec,Canada
IllFonic,12/4/2024,,,Indie,Colorado,United States
Ubisoft Sydney,12/4/2024,134,Ubisoft,Console,Australia,France
Ubisoft Osaka,12/3/2024,,Ubisoft,Console,Japan,France
Ubisoft San Francisco,12/3/2024,175,Ubisoft,Console,California,France
Torn Banner Studios,12/3/2024,,,Indie,Ottawa,Canada
Worlds Untold,11/26/2024,35,Netease,Console,British Columbia,China
Humanoid Origin,11/25/2024,70,,Console,Alberta,Canada
KING Art Games,11/25/2024,10,,Indie,Germany,Germany
Zapper Games,11/19/2024,18,Embracer Group,Console,North Carolina,Sweden
Heart Machine,11/9/2024,8,,Indie,California,United States
Reflector Entertainment,11/18/2024,45,Bandai Namco,Console,Quebec,Japan
NCSoft,11/15/2024,500,NCSoft,Online,South Korea,South Korea
Thunderful Games,11/14/2024,100,Thunderful Group,Console,Sweden,Sweden
Lilith Games,11/13/2024,40,,Mobile,China,China
Skydance Interactive,11/1/2024,12,Paramount Global,AR/VR,California,United States
probablyMonsters,10/30/2024,50,,Console,Washington,United States
Fingersoft,10/30/2024,14,,Mobile,Finland,Finland
Firewalk Studios,10/29/2024,174,Sony,Console,Washington,Japan
Neon Koi,10/29/2024,45,Sony,Mobile,England,Japan
Machine Zone,10/24/2024,,App Lovin,Mobile,California,United States
Inflexion Games,10/22/2024,50,Tencent,Console,Alberta,China
Netflix Studio Blue,10/22/2024,35,Netflix,Online,California,United States
Surgent Studios,10/18/2024,,,Indie,England,United Kingdom
DON'T NOD,10/16/2024,69,,Console,France,France
Riot Games,10/15/2024,32,Tencent,Online,California,China
NaturalMotion,10/10/2024,,TakeTwo Interactive,Mobile,England,United States
Cryptic Studios,10/9/2024,,Embracer Group,Online,California,Sweden
Tequila Works,10/8/2024,,Tencent,Console,Spain,China
Antstream Arcade,10/4/2024,,,Online,England,United Kingdom
Studio Black Flag,10/2/2024,5,,Indie,France,France
XR Games,10/1/2024,72,,AR/VR,England,United Kingdom
HiRez Studios,10/1/2024,70,Hirez Ventures,Online,Georgia,United States
Sharkmob London,10/1/2024,,Tencent,Console,England,China
Nexon America,9/30/2024,,Nexon,Publisher,California,South Korea
Merge Games,9/26/2024,,Maximum Entertainment,Publisher,England,Sweden
Mountaintop Studios,9/23/2024,13,,Online,Washington,United States
Airship Syndicate,9/18/2024,16,,Indie,Texas,United States
SkyBox Labs,9/18/2024,25,Netease,Online,British Columbia,China
Midwinter Entertainment,9/17/2024,35,Behaviour Interactive,Console,Washington,Canada
Evening Star,9/13/2024,6,,Indie,,United States
Microsoft Gaming,9/12/2024,650,Microsoft,Publisher,Washington,United States
Neon Machine,9/12/2024,35,,Indie,Washington,United States
Midnight Society,9/11/2024,,,Online,California,United States
Lost Boys Interactive,9/6/2024,139,Embracer Group,Console,Wisconsin,Sweden
Tilting Point,9/2/2024,90,,Mobile,New York,United States
Ballistic Moon Ltd.,8/30/2024,,,Console,England,United Kingdom
Ouka Studios,8/28/2024,,Netease,Console,Japan,China
Toadman Interactive,8/28/2024,,Enad Global 7,Console,Norway,Sweden
Toadman Interactive,8/28/2024,100,Enad Global 7,Console,Sweden,Sweden
Visual Concepts,8/23/2024,22,TakeTwo Interactive,Console,California,United States
CodeName Entertainment,8/16/2024,6,,Indie,British Columbia,Canada
Ubisoft San Francisco,8/15/2024,45,Ubisoft,Console,California,France
Machine Zone,8/15/2024,,App Lovin,Mobile,California,United States
Archiact,8/12/2024,12,,AR/VR,British Columbia,Canada
Com2Us,8/9/2024,100,Com2Us,Mobile,South Korea,South Korea
Ready at Dawn,8/8/2024,,Meta,AR/VR,California,United States
Jam City,8/2/2024,85,Netmarble,Mobile,California,South Korea
probablyMonsters,8/1/2024,,,Console,Washington,United States
Bungie,7/31/2024,220,Sony,Console,Washington,Japan
Lively Studio,7/29/2024,,Keywords Studios,Mobile,United Kingdom,Ireland
Humble Games,7/23/2024,36,Ziff Davis,Publisher,California,United States
NetherRealm Studios,7/17/2024,50,Warner Brothers,Console,Illinois,United States
Rumble Games,7/12/2024,35,Forte,Mobile,California,United States
Splash Damage,7/11/2024,,Splash Damage Group Limited,Console,England,United Kingdom
Wicked Games AG.,7/3/2024,15,,Indie,Switzerland,Switzerland
Surgent Studios,7/2/2024,12,,Indie,England,United Kingdom
Ubisoft Toronto,6/27/2024,33,Ubisoft,Console,Ottawa,France
GameLoft Toronto,6/26/2024,49,Viacom,Mobile,Ottawa,France
Paradox Tectonic,6/18/2024,18,Paradox Interactive,Console,California,Sweden
Techland,6/18/2024,,Tencent,Console,Poland,China
Pieces Interactive AB,6/17/2024,40,Embracer Group,Console,Sweden,Sweden
Striking Distance Studios,6/14/2024,10,Krafton,Console,California,South Korea
Galvanic Games Inc.,6/14/2024,,,Indie,Washington,United States
VRChat,6/12/2024,50,,AR/VR,California,United States
Archiact,6/12/2024,,,AR/VR,British Columbia,Canada
Sumo Group,6/11/2024,150,Tencent,Console,United Kingdom,China
Timbre Games,6/11/2024,100,Tencent,Console,British Columbia,China
GameLoft Kharkiv,6/5/2024,41,Vivendi,Mobile,Ukraine,France
Behaviour Interactive,6/4/2024,95,,Console,Quebec,Canada
Avalanche Studios,6/3/2024,,Avalanche Studios Group,Console,Quebec,Sweden
Avalanche Studios,6/3/2024,50,Avalanche Studios Group,Console,New York,Sweden
Fall Damage,5/23/2024,50,Fragbite,Online,Sweden,Sweden
Hatchery Games,5/23/2024,13,,Indie,Quebec,Canada
Singularity 6,5/16/2024,36,,Online,California,United States
Phoenix Labs,5/16/2024,162,Forte,Console,British Columbia,United States
GameLoft Cluj,5/16/2024,136,Vivendi,Mobile,Romania,France
Studio Wildcard,5/15/2024,6,SDE Inc.,Console,Washington,United States
Mighty Kingdom,5/13/2024,25,,Mobile,Australia,Australia
CI Games,5/10/2024,30,,Indie,Poland,Poland
Dawon Interactive,5/8/2024,,Prytania Media,Indie,India,United States
Lightforge Games,5/8/2024,35,,Online,California,United States
Bethesda Softworks,5/7/2024,,Microsoft,Publisher,Maryland,United States
Tango GameWorks,5/7/2024,150,Microsoft,Console,Japan,United States
Alpha Dog Games,5/7/2024,25,Microsoft,Mobile,Nova Scotia,United States
Arkane Austin,5/7/2024,60,Microsoft,Console,Texas,United States
Paladin Studios,5/2/2024,45,,Indie,Netherlands,Netherlands
Playtika Belarus,4/30/2024,150,PlayTika,,Belarus,Israel
Keoken Interactive,4/30/2024,13,,Indie,Netherlands,Netherlands
NCSoft,4/26/2024,,NCSoft,Publisher,South Korea,South Korea
Bethesda France,4/23/2024,15,Microsoft,Publisher,France,United States
Flaming Fowl Studios,4/23/2024,20,,Indie,England,United Kingdom
ModernWolf,4/18/2024,6,,Publisher,,
TakeTwo Interactive,4/17/2024,600,TakeTwo Interactive,Publisher,,United States
Kwalee,4/16/2024,40,,Mobile,England,United Kingdom
Possibility Space,4/12/2024,50,Prytania Media,Indie,Louisiana,United States
Ubisoft Korea,4/9/2024,,Ubisoft,Publisher,South Korea,France
Singularity 6,4/4/2024,49,,Online,California,
Relic Entertainment,4/4/2024,40,,Indie,British Columbia,Canada
MI-CLOS Studio,4/3/2024,20,,Indie,France,France
Whitethorn Games,4/3/2024,5,,Publisher,Pennsylvania,United States
Spearhead Games,4/3/2024,31,,Indie,Quebec,Canada
Ubisoft,4/2/2024,45,Ubisoft,Publisher,,France
Bold Spirit Game Studio,4/1/2024,30,,Indie,Quebec,Canada
Sega HARDLight,3/28/2024,,SEGA,Mobile,England,Japan
Creative Assembly,3/28/2024,240,SEGA,Console,England,Japan
Certain Affinity,3/28/2024,25,,Indie,Texas,Texas
Gearbox Publishing,3/28/2024,,TakeTwo Interactive,Publisher,Texas,United States
Smilegate Barcelona,3/27/2024,45,Smilegate,Console,Spain,South Korea
Tarsier Studios,3/22/2024,,Embracer Group,Console,Sweden,Sweden
Velan Studios,3/17/2024,46,,Indie,New York,United States
Happy Volcano,3/17/2024,8,,Indie,Belgium,Belgium
Something Wicked Games,3/15/2024,40,,Indie,Maryland,United States
Sega of America,3/8/2024,61,SEGA,Publisher,California,Japan
Deviation Games,3/8/2024,50,,Console,California,United States
ZA/UM,3/6/2024,24,,Indie,,United Kingdom
Babaroga Games,3/1/2024,4,,Indie,Illinois,United States
Radical Forge,3/1/2024,6,,Indie,England,United Kingdom
FrogSong Studios,3/1/2024,25,,Indie,Sweden,Sweden
505 Games,2/29/2024,,Digital Bros,Publisher,Italy,Italy
Keoken Interactive,2/29/2024,4,,Indie,Netherlands,Netherlands
Wildlife Studios,2/28/2024,130,,Mobile,,Brazil
Electronic Arts,2/28/2024,670,Electronic Arts,Publisher,,United States
Deck Nine Games,2/27/2024,25,,Console,Colorado,United States
PlayStation London,2/27/2024,,,Console,England,Japan
PlayStation Studios,2/27/2024,900,Sony,Console,,Japan
Die Gut Fabrik,2/26/2024,10,,Indie,Denmark,Denmark
SuperMassive Games,2/26/2024,90,,Console,England,United Kingdom
CodeMasters,2/23/2024,,Electronic Arts,Mobile,England,United States
GameLoft Lviv,2/21/2024,38,Viacom,Mobile,Ukraine,France
Disruptive Games,2/21/2024,,,Console,California,United States
Noggin,2/16/2024,,Paramount Global,Online,,United States
Build a Rocket Boy,2/19/2024,,,Console,,United Kingdom
Scopely,2/14/2024,15,Savvy Games Group,Mobile,California,Saudi Arabia
Daybreak Games,2/12/2024,15,Enad Global 7,Online,California,Sweden
Genvid Technologies,2/12/2024,,,Online,,United States
Threshold Games,2/9/2024,11,,Indie,,United States
GameScience,2/7/2024,10,Prytania Media,Indie,,United States
Hidden Path Entertainment,2/7/2024,44,,Indie,Washington,United States
91Act,2/7/2024,15,,Indie,,China
Cloud Imperium Games,2/6/2024,,,Indie,,United States
Visual Concepts,2/6/2024,,TakeTwo Interactive,Console,Texas,United States
Crop Circle Games,2/5/2024,,Prytania Media,Indie,,United States
Chimera Entertainment,2/1/2024,20,Remote Control Productions,Mobile,,
Threaks,2/1/2024,25,,Indie,Germany,Germany
Artificer,1/31/2024,,Devolver Digital,Console,,
Airship Syndicate,1/31/2024,12,,Indie,Texas,United States
Rovio Montreal,1/31/2024,12,SEGA,Mobile,,Japan
Starword Industries,1/30/2024,15,,Console,Poland,Poland
Nimble Giant,1/30/2024,,Embracer Group,Console,,Sweden
Black Forest Games,1/25/2024,40,Embracer Group,Console,,Sweden
Plarium,1/24/2024,45,Aristocrat Games,Mobile,,
Little Red Dog Games,1/22/2024,30,,Console,,
Chief Rebel,1/19/2024,,,Indie,,
Warducks,1/23/2024,10,,Mobile,Ireland,Ireland
People Can Fly Studios,1/24/2024,30,,Console,,
Eidos Montreal,1/29/2024,97,Embracer Group,Console,Quebec,Sweden
Activision Blizzard,1/25/2024,1900,Microsoft,Console,,United States
Riot Games,1/22/2024,530,Tencent,Online,California,China
Metaverse World,1/19/2024,70,Netmarble,Online,South Korea,South Korea
Ntreev Soft,1/18/2024,70,NCSoft,Online,South Korea,South Korea
31st Union,1/18/2024,,TakeTwo Interactive,Console,,United States
CI Games,1/18/2024,30,,Console,,
Behaviour Interactive,1/18/2024,45,,Console,Quebec,Canada
Wimo Games,1/17/2024,20,,Online,Texas,United States
Netspeak Games,1/17/2024,25,,Indie,,
Thunderful Group,1/17/2024,75,Thunderful Group,Publisher,,Sweden
Pixelberry,1/17/2024,,Nexon,Mobile,California,South Korea
Prahna Bytes,1/16/2024,,Embracer Group,Console,,Sweden
PTW,1/16/2024,45,,Publisher,,
Nesting Games,1/12/2024,68,Digital Bros,Console,Quebec,Italy
Lost Boys Interactive,1/12/2024,125,Embracer Group,Console,Wisconsin,Sweden
Playtika,1/11/2024,350,PlayTika,Mobile,Israel,Israel
Twitch,1/10/2024,500,Amazon,Online,California,United States
Unity Technologies,1/8/2024,1800,Unity,Tech,California,United States
Sliptegate Iron Works,1/3/2024,,Embracer Group,Console,Sweden,Sweden
Archiact,1/2/2024,20,,AR/VR,British Columbia,Canada
